date,energy,impact_e,lat,lat_dir,lon,lon_dir,alt,vel
7/15/2006,16.3,0.47,31.1,N,-45.6,E,38.9,30.2
6/7/2006,5.9,0.19,69.2,N,-22.5,E,40.7,19.6
5/28/2006,2.6,0.092,NA,<NA>,NA,<NA>,NA,NA
5/21/2006,26.3,0.71,-11.6,S,25.5,W,NA,NA
5/7/2006,3,0.1,NA,<NA>,NA,<NA>,NA,NA
5/6/2006,12.8,0.38,-60.2,S,152.3,W,35.2,NA
4/25/2006,2,0.073,NA,<NA>,NA,<NA>,NA,NA
4/8/2006,12.7,0.37,17.3,N,113.2,W,33.3,NA
4/4/2006,240,5,26.6,N,26.6,W,25,NA
3/14/2006,14.4,0.42,7,N,64.6,W,35.2,NA
2/26/2006,7,0.22,NA,<NA>,NA,<NA>,NA,NA
2/6/2006,119,2.7,-54.5,S,-18.1,E,35.2,NA
2/4/2006,10,0.3,36.9,N,143.6,W,38.9,19.8
1/28/2006,74,1.8,-51.7,S,-56.4,E,37,18.7
1/27/2006,4.5,0.15,58.7,N,-74.7,E,20,NA
1/26/2006,5.3,0.17,-79.8,S,111,W,37,NA
1/10/2006,2.8,0.098,29.8,N,12.7,W,32.4,16.9
1/8/2006,9.4,0.29,7.6,N,28.2,W,NA,NA
12/29/2005,19,0.53,-3,S,154.9,W,42.2,20.7
12/24/2005,18.1,0.51,-54,S,-17.3,E,66,NA
12/3/2005,8.8,0.27,-33.8,S,-117.4,E,32.2,17
12/1/2005,3.2,0.11,-6.4,S,155.8,W,NA,NA
11/29/2005,3.2,0.11,7.6,N,58.2,W,59.3,NA
11/15/2005,2.5,0.089,26.3,N,113.4,W,32.4,NA
11/11/2005,4.2,0.14,21.4,N,134.1,W,29.6,NA
11/9/2005,7.3,0.23,-31,S,-145.9,E,30.7,13.8
11/2/2005,3.2,0.11,33.9,N,154.9,W,68.5,NA
11/2/2005,6.7,0.21,22.9,N,123.8,W,74,NA
10/26/2005,13.8,0.4,-36.3,S,80.5,W,16.7,NA
9/30/2005,2.2,0.079,-2.8,S,84.1,W,53,NA
9/14/2005,2.5,0.089,11.6,N,-27.3,E,33.3,NA
9/2/2005,8.2,0.25,13.5,N,-73.1,E,NA,NA
8/20/2005,2.7,0.095,NA,<NA>,NA,<NA>,NA,NA
8/9/2005,2.5,0.089,-21.5,S,-56.2,E,37,16.9
7/1/2005,3.1,0.11,-49.8,S,-33.1,E,50,NA
